timeOpen,timeClose,timeHigh,timeLow,name,open,high,low,close,volume,marketCap,timestamp
2023-08-09T00:00:00.000Z,2023-08-09T23:59:59.999Z,2023-08-09T00:39:00.000Z,2023-08-09T20:08:00.000Z,2781,245.1363071007,245.3402726377,242.7664985138,243.8936438522,399576464.1,37523886294.12,2023-08-09T23:59:59.999Z
2023-08-08T00:00:00.000Z,2023-08-08T23:59:59.999Z,2023-08-08T18:28:00.000Z,2023-08-08T02:04:00.000Z,2781,241.7918765464,247.6473723774,241.3301998178,245.1498988782,504987527.74,37717205287.72,2023-08-08T23:59:59.999Z
2023-08-07T00:00:00.000Z,2023-08-07T23:59:59.999Z,2023-08-07T01:34:00.000Z,2023-08-07T16:21:00.000Z,2781,242.7916845607,244.3242472536,239.9353712231,241.7974947464,425652308.85,37201467454.42,2023-08-07T23:59:59.999Z
2023-08-06T00:00:00.000Z,2023-08-06T23:59:59.999Z,2023-08-06T09:06:00.000Z,2023-08-06T23:55:00.000Z,2781,242.9603036639,245.1790230293,242.6147311919,242.7985949794,417704184.9,37355531392.33,2023-08-06T23:59:59.999Z
2023-08-05T00:00:00.000Z,2023-08-05T23:59:59.999Z,2023-08-05T21:35:00.000Z,2023-08-05T02:04:00.000Z,2781,241.4896647302,243.0277209686,240.0903917133,242.9593467087,300760368.97,37380375232.49,2023-08-05T23:59:59.999Z
2023-08-04T00:00:00.000Z,2023-08-04T23:59:59.999Z,2023-08-04T17:05:00.000Z,2023-08-04T20:52:00.000Z,2781,241.0428560037,243.1554748085,240.4522857307,241.4760117512,370373498.99,37152196085.96,2023-08-04T23:59:59.999Z
2023-08-03T00:00:00.000Z,2023-08-03T23:59:59.999Z,2023-08-03T15:02:00.000Z,2023-08-03T08:28:00.000Z,2781,240.5099863245,241.5832532581,238.5096411258,241.0615231873,400525695.95,37088465667.74,2023-08-03T23:59:59.999Z
2023-08-02T00:00:00.000Z,2023-08-02T23:59:59.999Z,2023-08-02T00:28:00.000Z,2023-08-02T16:58:00.000Z,2781,247.4903170343,248.5115564717,236.8917735866,240.4946411686,650256384.94,37001289151.88,2023-08-02T23:59:59.999Z
2023-08-01T00:00:00.000Z,2023-08-01T23:59:59.999Z,2023-08-01T23:59:00.000Z,2023-08-01T02:13:00.000Z,2781,241.1280474149,247.5050201474,238.5302373811,247.5050201474,830645013.36,38079910676.88,2023-08-01T23:59:59.999Z
2023-07-31T00:00:00.000Z,2023-07-31T23:59:59.999Z,2023-07-31T02:37:00.000Z,2023-07-31T21:04:00.000Z,2781,242.5195979582,244.2025723965,240.7644436815,241.120655869,1092564921.58,37097683428.26,2023-07-31T23:59:59.999Z
2023-07-30T00:00:00.000Z,2023-07-30T23:59:59.999Z,2023-07-30T18:01:00.000Z,2023-07-30T20:13:00.000Z,2781,242.5822129189,243.7857200076,240.9251815547,242.5259857542,425584373.39,37313939994.05,2023-07-30T23:59:59.999Z
2023-07-29T00:00:00.000Z,2023-07-29T23:59:59.999Z,2023-07-29T23:46:00.000Z,2023-07-29T09:52:00.000Z,2781,241.9713447481,242.7262670133,241.3231329761,242.5763643068,317500344.01,37321723681.52,2023-07-29T23:59:59.999Z
2023-07-28T00:00:00.000Z,2023-07-28T23:59:59.999Z,2023-07-28T20:40:00.000Z,2023-07-28T05:58:00.000Z,2781,240.5051330378,242.796997595,239.9878679973,241.9770424637,388148321.64,37229548135.81,2023-07-28T23:59:59.999Z
2023-07-27T00:00:00.000Z,2023-07-27T23:59:59.999Z,2023-07-27T05:17:00.000Z,2023-07-27T00:50:00.000Z,2781,238.9601192446,243.1635161872,238.6384485845,240.4987870349,433186880.47,37002146211.44,2023-07-27T23:59:59.999Z
2023-07-26T00:00:00.000Z,2023-07-26T23:59:59.999Z,2023-07-26T21:22:00.000Z,2023-07-26T01:37:00.000Z,2781,237.8190827684,240.2377136488,236.6411336443,238.9623644386,417581395.2,36765797234.63,2023-07-26T23:59:59.999Z
2023-07-25T00:00:00.000Z,2023-07-25T23:59:59.999Z,2023-07-25T03:07:00.000Z,2023-07-25T14:52:00.000Z,2781,238.9640995501,239.6372021638,236.9994122967,237.8085628438,366519529.15,36588314323.11,2023-07-25T23:59:59.999Z
2023-07-24T00:00:00.000Z,2023-07-24T23:59:59.999Z,2023-07-24T00:58:00.000Z,2023-07-24T15:16:00.000Z,2781,242.4494288498,242.8918710092,236.2923959589,238.9462168368,451906471.96,36763385107.77,2023-07-24T23:59:59.999Z
2023-07-23T00:00:00.000Z,2023-07-23T23:59:59.999Z,2023-07-23T18:55:00.000Z,2023-07-23T00:13:00.000Z,2781,241.0546507269,243.9764850145,240.7612194629,242.4559593943,279600847.41,37303420951.91,2023-07-23T23:59:59.999Z
2023-07-22T00:00:00.000Z,2023-07-22T23:59:59.999Z,2023-07-22T03:22:00.000Z,2023-07-22T23:43:00.000Z,2781,243.8090835592,244.8587282186,240.5126125362,241.0307444208,310128851.49,37076059806.11,2023-07-22T23:59:59.999Z
2023-07-21T00:00:00.000Z,2023-07-21T23:59:59.999Z,2023-07-21T12:49:00.000Z,2023-07-21T00:40:00.000Z,2781,242.7542948254,245.1633402102,242.3674804783,243.788993041,413015397.71,37508583495.91,2023-07-21T23:59:59.999Z
2023-07-20T00:00:00.000Z,2023-07-20T23:59:59.999Z,2023-07-20T21:46:00.000Z,2023-07-20T15:03:00.000Z,2781,241.138888196,243.1425981377,240.3877448873,242.7331435117,485038742.74,37346172591.35,2023-07-20T23:59:59.999Z
2023-07-19T00:00:00.000Z,2023-07-19T23:59:59.999Z,2023-07-19T05:34:00.000Z,2023-07-19T00:10:00.000Z,2781,240.2741775105,243.9277082509,239.9935912387,241.1608057644,499664149.06,37104300789.72,2023-07-19T23:59:59.999Z
2023-07-18T00:00:00.000Z,2023-07-18T23:59:59.999Z,2023-07-18T02:08:00.000Z,2023-07-18T17:07:00.000Z,2781,244.3345755376,246.5308562662,238.7042272648,240.2649336384,751858394.14,37444894293.48,2023-07-18T23:59:59.999Z
2023-07-17T00:00:00.000Z,2023-07-17T23:59:59.999Z,2023-07-17T22:32:00.000Z,2023-07-17T10:43:00.000Z,2781,242.6580896078,244.6820344164,240.5975967551,244.3530023238,671028354.44,38082054340.4,2023-07-17T23:59:59.999Z
